status_name,comments,from_report_id
Pending Review,,10000
Draft,,10001
Pending Review,,10001
Draft,,10002
Pending Review,,10002
Work In Progress,Might take a few days to complete,10001
Completed,,10001
Completed,,10000
Completed,,10002
Pending Review,,10003
Work In Progress,Notified LTA,10003
Completed,LTA removed bicycles and issued warnings,10003
Pending Review,,10004
Work In Progress,,10004
Completed,,10004
Pending Review,,10005
Work In Progress,,10005
Completed,,10005
Pending Review,,10006
Work In Progress,,10006
Completed,,10006
Pending Review,,10007
Work In Progress,,10007
Completed,,10007
Pending Review,,10008
Work In Progress,,10008
Completed,,10008
Pending Review,,10009
Work In Progress,,10009
Completed,,10009
Pending Review,,10010
Work In Progress,,10010
Completed,,10010
Pending Review,,10011
Work In Progress,,10011
Completed,,10011
Pending Review,,10012
Work In Progress,,10012
Completed,,10012
Pending Review,,10013
Work In Progress,,10013
Pending Review,,10014
Work In Progress,,10014
Pending Review,,10015
Work In Progress,,10015
Pending Review,,10016
Work In Progress,,10016
Pending Review,,10017
Work In Progress,,10017
Pending Review,,10018
Work In Progress,,10018
Pending Review,,10019
Work In Progress,,10019
Completed,,10019
Pending Review,,10020
Pending Review,,10021
Work In Progress,,10021
Completed,,10021
